,referer,receiver,shared_Count,Unique_Beneficiaries,Number_Same_Day_Visits,Type_referer,State_referer,Type_receiver,State_receiver,Taxonomy_Code,Grouping,Classification,Specialization
0,1003004771,1649494980,119,30,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
1,1003878448,1649494980,59,21,1,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
2,1013063601,1649494980,99,20,8,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
3,1013989342,1649494980,166,16,2,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
4,1033195052,1649494980,28,13,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
5,1043282304,1649494980,42,15,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
6,1053349597,1649494980,197,50,5,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
7,1053411884,1649494980,221,28,14,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
8,1073650347,1649494980,52,12,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
9,1073660932,1649494980,22,11,3,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
10,1083651186,1649494980,58,25,0,1.0,CO,1.0,CO,2081H0002X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,Hospice and Palliative Medicine
